id,icao24,registration,adep,model,icao_operator
9396711488910813659,406aa9,G-OXFG,EGBE,PIPER PA-34-220T Seneca V,
9444966115551617155,5002b7,T7-DAT,EGVO,,
9481952479138887903,406d59,G-SCCA,EGJJ,CESSNA 510 Citation Mustang,GMA
9491121108961238775,48c132,SP-RKT,EPKK,737-8AS,RYR
9520070530485773623,40101b,G-HBBH,,IKARUS C42 FB100 Ikarus,
9521592923122718035,407152,G-DSAA,EGDY,AW169,
9564075163261326059,4ca760,EI-EFE,,BOEING 737-8AS,RYR
9631348116163617312,4009cb,G-FRAI,,FAN JET FALCON SERIES E Falcon 20e,
9662284788378661790,48c128,SP-RKI,,Boeing 737-8AS (W),RYR
9675231628740294898,43c93d,ZM715,EGVA,,
9715272269636014375,401ca5,G-BEWR,,REIMS CESSNA F172N Skyhawk,
9717412637971218251,4009d2,G-FRAR,,FAN JET FALCON SERIES D Falcon 20d,
9888804841762518896,407d71,G-OHII,,,
9899867702270010844,400e15,G-FRAD,EGNV,FAN JET FALCON SERIES E Falcon 20e,
9901227305653984100,407765,G-YVIP,EGJJ,,
9919091406235686150,400e15,G-FRAD,,FAN JET FALCON SERIES E Falcon 20e,
9984099632260402396,5002b7,T7-DAT,EDLN,,
10052804712236001167,405200,G-XVIP,EGHL,BEECH 200 Super Kingair,
10083771930924254634,402af0,G-JJAN,,PIPER PA-28-181 Cherokee Archer Ii,
10086440520934105644,493294,CS-LTT,EHRD,,
10088965403924650313,404c63,G-CCZL,,IKARUS C42 FB80 Ikarus,
10101132048912021544,4009d3,G-FRAS,,FAN JET FALCON Falcon 20,
10145076995880549061,4055d6,G-WZOY,EGDY,RANS S6-ESA Coyote Ii,
10165385794444770826,4079b4,G-RIDC,EGUB,,
10272816874425270856,8940c8,A9C-BRN,EGPH,,
10331038416966854871,4067f5,G-TUIA,EGCC,BOEING 787-8 Dreamliner,TOM
10368369720247058433,4009d2,G-FRAR,,FAN JET FALCON SERIES D Falcon 20d,
10429595727100766260,4ca4f5,EI-DPR,LEAL,BOEING 737-8AS,RYR
10447225781267511726,43edd9,2-TABS,EGJJ,,
10535762375574654989,401e56,G-BHJS,,P68B Victor,
10584514763223794696,407152,G-DSAA,EGGD,AW169,
10592987788559345836,4d2236,9H-QDT,LIPZ,,
10598552250201050600,4052eb,G-ORVS,EGKK,VANS RV-9,
10613150349405736611,40712b,G-SRBM,,BEECH B300 Super Kingair 350,
10644830438601892387,4d21e5,9H-AYS,EGKB,,
